target_id,role,fold,phi,k,n_lig,n_active,n_subsets,metric,h_raw,h_nested,h_ab,h_ba,h_nested_lower95,noise_floor,noise_ci95_low,noise_ci95_high,mde,ratio,h_perm,h_perm_alt,perm_null_q95,u_test_ref,ref_source,ref_columns,u_test_oracle,oracle_columns,u_train_oracle,u_test_of_train_selected,columns_a,columns_b,columns_train_oracle,seed_tag,run_id,method,u_test,selected_receptor_ids,pr_auc,bedroc20,roc_auc,ef1,ef5,ef10
MK14,primary,1,hmean,2,120,24,105,pr_auc,0.0453960862373301,0.005063514759630072,-0.02079124202401139,0.030918271543271536,-0.03185297845939825,0.08417949138222788,-0.059662804711882185,0.2639521958398201,0.23691262914841163,0.060151405959897375,-0.3603739829852886,0.1258459126841759,0.4057700692226187,0.4862198956694645,greedy,1DI9+1KV2,0.5316159819067946,11OY+1KV2,0.585430495425444,0.4862198956694645,1KV2+1M7Q,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,oracle,0.5316159819067946,11OY+1KV2,0.5031069744356736,0.6749892707144356,0.7387152777777778,5.0,4.166666666666667,2.5
MK14,primary,1,hmean,2,120,24,105,pr_auc,0.0453960862373301,0.005063514759630072,-0.02079124202401139,0.030918271543271536,-0.03185297845939825,0.08417949138222788,-0.059662804711882185,0.2639521958398201,0.23691262914841163,0.060151405959897375,-0.3603739829852886,0.1258459126841759,0.4057700692226187,0.4862198956694645,greedy,1DI9+1KV2,0.5316159819067946,11OY+1KV2,0.585430495425444,0.4862198956694645,1KV2+1M7Q,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,ref,0.4862198956694645,1DI9+1KV2,0.4862198956694645,0.6447175926609926,0.7287326388888888,5.0,4.166666666666667,2.5
MK14,primary,1,hmean,2,120,24,105,pr_auc,0.0453960862373301,0.005063514759630072,-0.02079124202401139,0.030918271543271536,-0.03185297845939825,0.08417949138222788,-0.059662804711882185,0.2639521958398201,0.23691262914841163,0.060151405959897375,-0.3603739829852886,0.1258459126841759,0.4057700692226187,0.4862198956694645,greedy,1DI9+1KV2,0.5316159819067946,11OY+1KV2,0.585430495425444,0.4862198956694645,1KV2+1M7Q,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,greedy,0.4862198956694645,1DI9+1KV2,0.4862198956694645,0.6447175926609926,0.7287326388888888,5.0,4.166666666666667,2.5
MK14,primary,1,hmean,2,120,24,105,pr_auc,0.0453960862373301,0.005063514759630072,-0.02079124202401139,0.030918271543271536,-0.03185297845939825,0.08417949138222788,-0.059662804711882185,0.2639521958398201,0.23691262914841163,0.060151405959897375,-0.3603739829852886,0.1258459126841759,0.4057700692226187,0.4862198956694645,greedy,1DI9+1KV2,0.5316159819067946,11OY+1KV2,0.585430495425444,0.4862198956694645,1KV2+1M7Q,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,single,0.3777867443659651,1DI9,0.3777867443659651,0.4066113010382992,0.7348090277777778,2.5,1.6666666666666665,1.6666666666666665
MK14,primary,1,hmean,2,120,24,105,pr_auc,0.0453960862373301,0.005063514759630072,-0.02079124202401139,0.030918271543271536,-0.03185297845939825,0.08417949138222788,-0.059662804711882185,0.2639521958398201,0.23691262914841163,0.060151405959897375,-0.3603739829852886,0.1258459126841759,0.4057700692226187,0.4862198956694645,greedy,1DI9+1KV2,0.5316159819067946,11OY+1KV2,0.585430495425444,0.4862198956694645,1KV2+1M7Q,11OY+1KV2,1DI9+1KV2,bootstrap_seed=0,e1_smoke3,train_selected,0.4862198956694645,1DI9+1KV2,0.4862198956694645,0.6447175926609926,0.7287326388888888,5.0,4.166666666666667,2.5
MK14,primary,1,hmean,3,120,24,455,pr_auc,0.019435739234230365,-0.007932611467828143,0.013177459599673425,-0.02904268253532971,-0.06862728730101511,0.07535200731287708,-0.0025359189444161146,0.28627512415174633,0.21206878149269695,-0.1052740564015807,-0.400446904617283,0.13292359253328995,0.41988264385151336,0.5333704971505729,greedy,1DI9+1KV2+1OUY,0.5528062363848033,11OY+1KV2+1OUY,0.6025177350482355,0.5333704971505729,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1OUY,bootstrap_seed=0,e1_smoke3,oracle,0.5528062363848033,11OY+1KV2+1OUY,0.5528062363848033,0.7364335988149994,0.7764756944444444,5.0,5.0,2.9166666666666665
MK14,primary,1,hmean,3,120,24,455,pr_auc,0.019435739234230365,-0.007932611467828143,0.013177459599673425,-0.02904268253532971,-0.06862728730101511,0.07535200731287708,-0.0025359189444161146,0.28627512415174633,0.21206878149269695,-0.1052740564015807,-0.400446904617283,0.13292359253328995,0.41988264385151336,0.5333704971505729,greedy,1DI9+1KV2+1OUY,0.5528062363848033,11OY+1KV2+1OUY,0.6025177350482355,0.5333704971505729,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1OUY,bootstrap_seed=0,e1_smoke3,ref,0.5333704971505729,1DI9+1KV2+1OUY,0.5333704971505729,0.7198973205175038,0.7569444444444444,5.0,5.0,2.9166666666666665
MK14,primary,1,hmean,3,120,24,455,pr_auc,0.019435739234230365,-0.007932611467828143,0.013177459599673425,-0.02904268253532971,-0.06862728730101511,0.07535200731287708,-0.0025359189444161146,0.28627512415174633,0.21206878149269695,-0.1052740564015807,-0.400446904617283,0.13292359253328995,0.41988264385151336,0.5333704971505729,greedy,1DI9+1KV2+1OUY,0.5528062363848033,11OY+1KV2+1OUY,0.6025177350482355,0.5333704971505729,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1OUY,bootstrap_seed=0,e1_smoke3,greedy,0.5333704971505729,1DI9+1KV2+1OUY,0.5333704971505729,0.7198973205175038,0.7569444444444444,5.0,5.0,2.9166666666666665
MK14,primary,1,hmean,3,120,24,455,pr_auc,0.019435739234230365,-0.007932611467828143,0.013177459599673425,-0.02904268253532971,-0.06862728730101511,0.07535200731287708,-0.0025359189444161146,0.28627512415174633,0.21206878149269695,-0.1052740564015807,-0.400446904617283,0.13292359253328995,0.41988264385151336,0.5333704971505729,greedy,1DI9+1KV2+1OUY,0.5528062363848033,11OY+1KV2+1OUY,0.6025177350482355,0.5333704971505729,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1OUY,bootstrap_seed=0,e1_smoke3,single,0.3777867443659651,1DI9,0.3777867443659651,0.4066113010382992,0.7348090277777778,2.5,1.6666666666666665,1.6666666666666665
MK14,primary,1,hmean,3,120,24,455,pr_auc,0.019435739234230365,-0.007932611467828143,0.013177459599673425,-0.02904268253532971,-0.06862728730101511,0.07535200731287708,-0.0025359189444161146,0.28627512415174633,0.21206878149269695,-0.1052740564015807,-0.400446904617283,0.13292359253328995,0.41988264385151336,0.5333704971505729,greedy,1DI9+1KV2+1OUY,0.5528062363848033,11OY+1KV2+1OUY,0.6025177350482355,0.5333704971505729,11OY+1KV2+1OUY,11OY+1DI9+1KV2,1DI9+1KV2+1OUY,bootstrap_seed=0,e1_smoke3,train_selected,0.5333704971505729,1DI9+1KV2+1OUY,0.5333704971505729,0.7198973205175038,0.7569444444444444,5.0,5.0,2.9166666666666665
