bedroc20,budget,coverage,ef1,ef10,ef5,eval_coverage,eval_mean_depth,eval_n,fold,jobs_used,max_depth,mean_depth,n_docked,phi,policy,pr_auc,recall1,recall10,recall5,receptor_usage,ref_pr_auc,role,stages,target_id
0.49036371148281777,2400,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s1_width,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,width,PPARA_pool30
0.49036371148281777,3600,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s1_width,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,width,PPARA_pool30
0.49036371148281777,4800,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s1_width,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,width,PPARA_pool30
0.49036371148281777,600,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s2_uniform,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,uniform,PPARA_pool30
0.6646998318770274,1200,1.0,2.5,3.75,3.333333333333333,1.0,2.0,120,4,1200,2,2.0,600,mean,s2_uniform,0.6067819743415552,0.041666666666666664,0.375,0.16666666666666666,2,0.501392690384561,pool,uniform,PPARA_pool30
0.6977230931314035,2400,1.0,2.5,3.75,3.333333333333333,1.0,4.0,120,4,2400,4,4.0,600,mean,s2_uniform,0.6337009359116265,0.041666666666666664,0.375,0.16666666666666666,4,0.501392690384561,pool,uniform,PPARA_pool30
0.6440188496832151,3600,1.0,0.0,3.75,3.333333333333333,1.0,6.0,120,4,3600,6,6.0,600,mean,s2_uniform,0.6212360860058749,0.0,0.375,0.16666666666666666,6,0.501392690384561,pool,uniform,PPARA_pool30
0.6266086902741067,4800,1.0,0.0,3.75,3.333333333333333,1.0,8.0,120,4,4800,8,8.0,600,mean,s2_uniform,0.6204983090497175,0.0,0.375,0.16666666666666666,8,0.501392690384561,pool,uniform,PPARA_pool30
0.49036371148281777,600,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s3_top10,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.42369685922921885,1200,1.0,0.0,2.5,1.6666666666666665,1.0,2.6666666666666665,120,4,1200,11,2.0,600,mean,s3_top10,0.48829908036370323,0.0,0.25,0.08333333333333333,11,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.44620981602542586,2400,1.0,0.0,2.9166666666666665,1.6666666666666665,1.0,5.833333333333333,120,4,2340,30,3.9,600,mean,s3_top10,0.4905888675711205,0.0,0.2916666666666667,0.08333333333333333,30,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.44620981602542586,3600,1.0,0.0,2.9166666666666665,1.6666666666666665,1.0,5.833333333333333,120,4,2340,30,3.9,600,mean,s3_top10,0.4905888675711205,0.0,0.2916666666666667,0.08333333333333333,30,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.44620981602542586,4800,1.0,0.0,2.9166666666666665,1.6666666666666665,1.0,5.833333333333333,120,4,2340,30,3.9,600,mean,s3_top10,0.4905888675711205,0.0,0.2916666666666667,0.08333333333333333,30,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.49036371148281777,600,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s3_top25,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.652730700101891,1200,1.0,0.0,4.166666666666667,3.333333333333333,1.0,2.2333333333333334,120,4,1200,5,2.0,600,mean,s3_top25,0.5990430666028921,0.0,0.4166666666666667,0.16666666666666666,5,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.6474935874026508,2400,1.0,0.0,4.166666666666667,3.333333333333333,1.0,4.7,120,4,2400,13,4.0,600,mean,s3_top25,0.5927629936540396,0.0,0.4166666666666667,0.16666666666666666,13,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.6330383936146043,3600,1.0,0.0,3.75,3.333333333333333,1.0,7.166666666666667,120,4,3600,21,6.0,600,mean,s3_top25,0.5783506711325194,0.0,0.375,0.16666666666666666,21,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.5937665366880643,4800,1.0,0.0,3.333333333333333,3.333333333333333,1.0,9.633333333333333,120,4,4800,29,8.0,600,mean,s3_top25,0.547700754766785,0.0,0.3333333333333333,0.16666666666666666,29,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.49036371148281777,600,1.0,0.0,2.5,2.5,1.0,1.0,120,4,600,1,1.0,600,mean,s3_top50,0.501392690384561,0.0,0.25,0.125,1,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.6840807047954128,1200,1.0,2.5,3.75,3.333333333333333,1.0,2.15,120,4,1200,3,2.0,600,mean,s3_top50,0.6120873437219471,0.041666666666666664,0.375,0.16666666666666666,3,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.6214642635397025,2400,1.0,0.0,3.75,3.333333333333333,1.0,4.45,120,4,2400,7,4.0,600,mean,s3_top50,0.5934034321176064,0.0,0.375,0.16666666666666666,7,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.653713306389575,3600,1.0,0.0,4.166666666666667,3.333333333333333,1.0,6.75,120,4,3600,11,6.0,600,mean,s3_top50,0.6227521893712428,0.0,0.4166666666666667,0.16666666666666666,11,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.6479246571831261,4800,1.0,0.0,4.166666666666667,3.333333333333333,1.0,9.05,120,4,4800,15,8.0,600,mean,s3_top50,0.6180110704291172,0.0,0.4166666666666667,0.16666666666666666,15,0.501392690384561,pool,primary_all|top_up,PPARA_pool30
0.5916699914306959,600,0.41,0.0,3.75,2.5,0.5083333333333333,2.819672131147541,120,4,600,7,2.4390243902439024,246,mean,s4_scaffold25,0.6140570225205114,0.0,0.375,0.125,7,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.5786605660716178,1200,0.41,0.0,3.333333333333333,2.5,0.5083333333333333,5.852459016393443,120,4,1200,17,4.878048780487805,246,mean,s4_scaffold25,0.6110435155238387,0.0,0.3333333333333333,0.125,17,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.5716848574262536,2400,0.41,0.0,3.75,2.5,0.5083333333333333,10.032786885245901,120,4,2044,30,8.308943089430894,246,mean,s4_scaffold25,0.5998133878027387,0.0,0.375,0.125,30,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.5716848574262536,3600,0.41,0.0,3.75,2.5,0.5083333333333333,10.032786885245901,120,4,2044,30,8.308943089430894,246,mean,s4_scaffold25,0.5998133878027387,0.0,0.375,0.125,30,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.5716848574262536,4800,0.41,0.0,3.75,2.5,0.5083333333333333,10.032786885245901,120,4,2044,30,8.308943089430894,246,mean,s4_scaffold25,0.5998133878027387,0.0,0.375,0.125,30,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.7045163584072337,600,0.42,2.5,4.166666666666667,3.333333333333333,0.5583333333333333,2.4477611940298507,120,4,600,4,2.380952380952381,252,mean,s4_scaffold50,0.6255867242476792,0.041666666666666664,0.4166666666666667,0.16666666666666666,4,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.6432513441760118,1200,0.42,0.0,3.75,3.333333333333333,0.5583333333333333,5.044776119402985,120,4,1200,9,4.761904761904762,252,mean,s4_scaffold50,0.6109553263055229,0.0,0.375,0.16666666666666666,9,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.6416091164776054,2400,0.42,0.0,4.166666666666667,3.333333333333333,0.5583333333333333,10.164179104477611,120,4,2400,18,9.523809523809524,252,mean,s4_scaffold50,0.5985668064586712,0.0,0.4166666666666667,0.16666666666666666,18,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.6192294122383889,3600,0.42,0.0,3.75,3.333333333333333,0.5583333333333333,15.26865671641791,120,4,3600,27,14.285714285714286,252,mean,s4_scaffold50,0.578965041285473,0.0,0.375,0.16666666666666666,27,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.5918565246113852,4800,0.42,0.0,3.333333333333333,3.333333333333333,0.5583333333333333,16.925373134328357,120,4,3987,30,15.821428571428571,252,mean,s4_scaffold50,0.5584592721148431,0.0,0.3333333333333333,0.16666666666666666,30,0.501392690384561,pool,scaffold_representatives|expand_top_groups,PPARA_pool30
0.36279877603291827,600,1.0,0.0,2.0833333333333335,1.6666666666666665,1.0,1.0,120,4,600,1,1.0,600,mean,s5_score_oracle,0.4160620558715163,0.0,0.20833333333333334,0.08333333333333333,25,0.501392690384561,pool,score_oracle,PPARA_pool30
0.4041379533840292,1200,1.0,0.0,2.9166666666666665,1.6666666666666665,1.0,2.0,120,4,1200,2,2.0,600,mean,s5_score_oracle,0.41229113737055495,0.0,0.2916666666666667,0.08333333333333333,29,0.501392690384561,pool,score_oracle,PPARA_pool30
0.44215958135057165,2400,1.0,0.0,2.9166666666666665,2.5,1.0,4.0,120,4,2400,4,4.0,600,mean,s5_score_oracle,0.4165405742070334,0.0,0.2916666666666667,0.125,30,0.501392690384561,pool,score_oracle,PPARA_pool30
0.4593116103304978,3600,1.0,0.0,2.9166666666666665,2.5,1.0,6.0,120,4,3600,6,6.0,600,mean,s5_score_oracle,0.4317424205859079,0.0,0.2916666666666667,0.125,30,0.501392690384561,pool,score_oracle,PPARA_pool30
0.4706986415900246,4800,1.0,0.0,2.9166666666666665,2.5,1.0,8.0,120,4,4800,8,8.0,600,mean,s5_score_oracle,0.441878129632181,0.0,0.2916666666666667,0.125,30,0.501392690384561,pool,score_oracle,PPARA_pool30
