target_id,role,phi,policy,budget,n_folds,pr_auc_mean,pr_auc_std,delta_mean,delta_worst_fold,positive_folds,bedroc20_mean,recall5_mean,coverage_mean,eval_coverage_mean,eval_mean_depth_mean,jobs_used_mean
CDK2,control,mean,s4_scaffold50,3600,4,0.7010347442162447,0.049193893829162935,-0.0025052129120325117,-0.08572496212937397,2,0.9176572257771163,0.1,1.0,1.0,8.125,1360.0
CDK2,control,mean,s4_scaffold50,4800,4,0.7010347442162447,0.049193893829162935,-0.0025052129120325117,-0.08572496212937397,2,0.9176572257771163,0.1,1.0,1.0,8.125,1360.0
CDK2,control,mean,s5_score_oracle,600,4,0.756432692606991,0.05917131884845061,0.05289273547871387,-0.010908995245033637,3,0.9382788655624955,0.1,1.0,1.0,3.0,480.0
CDK2,control,mean,s5_score_oracle,1200,4,0.749277414548907,0.0718442379995404,0.04573745742062976,-0.027053055862778397,3,0.9221296896978256,0.1,1.0,1.0,7.0,1120.0
CDK2,control,mean,s5_score_oracle,2400,4,0.7543483621190065,0.06088613104994699,0.050808404990729306,-0.0011615191543616898,3,0.9329619072962281,0.1,1.0,1.0,15.0,2400.0
CDK2,control,mean,s5_score_oracle,3600,4,0.7583991243930539,0.05556589249537618,0.05485916726477694,0.017233612147573685,4,0.938635092719942,0.1,1.0,1.0,16.0,2560.0
CDK2,control,mean,s5_score_oracle,4800,4,0.7583991243930539,0.05556589249537618,0.05485916726477694,0.017233612147573685,4,0.938635092719942,0.1,1.0,1.0,16.0,2560.0
CDK2,control,min,s1_width,600,4,0.7035399571282771,0.03147761359485489,0.0,0.0,0,0.8211369832512957,0.0875,1.0,1.0,1.0,160.0
CDK2,control,min,s1_width,1200,4,0.7035399571282771,0.03147761359485489,0.0,0.0,0,0.8211369832512957,0.0875,1.0,1.0,1.0,160.0
CDK2,control,min,s1_width,2400,4,0.7035399571282771,0.03147761359485489,0.0,0.0,0,0.8211369832512957,0.0875,1.0,1.0,1.0,160.0
CDK2,control,min,s1_width,3600,4,0.7035399571282771,0.03147761359485489,0.0,0.0,0,0.8211369832512957,0.0875,1.0,1.0,1.0,160.0
CDK2,control,min,s1_width,4800,4,0.7035399571282771,0.03147761359485489,0.0,0.0,0,0.8211369832512957,0.0875,1.0,1.0,1.0,160.0
CDK2,control,min,s2_uniform,600,4,0.7153046989326673,0.06771046882536477,0.011764741804390189,-0.035009766856474056,1,0.8683867546597611,0.1,1.0,1.0,3.0,480.0
CDK2,control,min,s2_uniform,1200,4,0.7362392128475119,0.04824703687726104,0.032699255719234904,0.01203553311999217,4,0.9372428228261921,0.1,1.0,1.0,7.0,1120.0
CDK2,control,min,s2_uniform,2400,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,15.0,2400.0
CDK2,control,min,s2_uniform,3600,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,16.0,2560.0
CDK2,control,min,s2_uniform,4800,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,16.0,2560.0
CDK2,control,min,s3_top10,600,4,0.7097899571282771,0.02513575661523117,0.0062500000000000056,0.0,1,0.8598450282931086,0.0875,1.0,1.0,2.125,400.0
CDK2,control,min,s3_top10,1200,4,0.7097899571282771,0.02513575661523117,0.0062500000000000056,0.0,1,0.8598450282931086,0.0875,1.0,1.0,2.125,400.0
CDK2,control,min,s3_top10,2400,4,0.7097899571282771,0.02513575661523117,0.0062500000000000056,0.0,1,0.8598450282931086,0.0875,1.0,1.0,2.125,400.0
CDK2,control,min,s3_top10,3600,4,0.7097899571282771,0.02513575661523117,0.0062500000000000056,0.0,1,0.8598450282931086,0.0875,1.0,1.0,2.125,400.0
CDK2,control,min,s3_top10,4800,4,0.7097899571282771,0.02513575661523117,0.0062500000000000056,0.0,1,0.8598450282931086,0.0875,1.0,1.0,2.125,400.0
CDK2,control,min,s3_top25,600,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,3.40625,600.0
CDK2,control,min,s3_top25,1200,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s3_top25,2400,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s3_top25,3600,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s3_top25,4800,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s3_top50,600,4,0.727953764156732,0.04083971653955105,0.02441380702845483,-0.015362137862137915,3,0.9336273941413866,0.1,1.0,1.0,3.59375,600.0
CDK2,control,min,s3_top50,1200,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,7.175,1200.0
CDK2,control,min,s3_top50,2400,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s3_top50,3600,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s3_top50,4800,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s4_scaffold25,600,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,3.40625,600.0
CDK2,control,min,s4_scaffold25,1200,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s4_scaffold25,2400,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s4_scaffold25,3600,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s4_scaffold25,4800,4,0.7331431317314516,0.037755994598072086,0.029603174603174603,0.0,3,0.9365146032060008,0.1,1.0,1.0,4.28125,760.0
CDK2,control,min,s4_scaffold50,600,4,0.727953764156732,0.04083971653955105,0.02441380702845483,-0.015362137862137915,3,0.9336273941413866,0.1,1.0,1.0,3.59375,600.0
CDK2,control,min,s4_scaffold50,1200,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,7.175,1200.0
CDK2,control,min,s4_scaffold50,2400,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s4_scaffold50,3600,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s4_scaffold50,4800,4,0.7406782336372,0.049272573842106385,0.03713827650892279,0.014052429768373953,4,0.9401561587979422,0.1,1.0,1.0,8.125,1360.0
CDK2,control,min,s5_score_oracle,600,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,3.0,480.0
CDK2,control,min,s5_score_oracle,1200,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,7.0,1120.0
CDK2,control,min,s5_score_oracle,2400,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,15.0,2400.0
CDK2,control,min,s5_score_oracle,3600,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,16.0,2560.0
CDK2,control,min,s5_score_oracle,4800,4,0.7454846090071547,0.057830149907958796,0.04194465187887761,0.011281564866023941,4,0.9416456151835023,0.1,1.0,1.0,16.0,2560.0
EGFR,secondary,mean,s1_width,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s1_width,1200,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s1_width,2400,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s1_width,3600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s1_width,4800,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s2_uniform,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s2_uniform,1200,5,0.31924606622500945,0.06721557967114548,0.010006707104039248,-0.026837226799213076,2,0.3685277234267671,0.09166666666666666,1.0,1.0,2.0,1200.0
EGFR,secondary,mean,s2_uniform,2400,5,0.33088583493117824,0.07764794600251498,0.021646475810208066,-0.03217210767322931,4,0.37384321119651154,0.09166666666666667,1.0,1.0,4.0,2400.0
EGFR,secondary,mean,s2_uniform,3600,5,0.32404053735397204,0.07238112210351141,0.014801178233001866,-0.022784218326036165,3,0.35865062597749015,0.09166666666666667,1.0,1.0,6.0,3600.0
EGFR,secondary,mean,s2_uniform,4800,5,0.3159778848395766,0.06650406750108562,0.00673852571860647,-0.02413093129528865,3,0.32337800953444795,0.075,1.0,1.0,8.0,4800.0
EGFR,secondary,mean,s3_top10,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s3_top10,1200,5,0.292443495847373,0.0643015051309695,-0.01679586327359714,-0.02653739191611132,0,0.28949765417247164,0.06666666666666667,1.0,1.0,2.0166666666666666,1200.0
EGFR,secondary,mean,s3_top10,2400,5,0.2816699192372844,0.057082865408721005,-0.027569439883685744,-0.03603164823333224,0,0.2667750825544,0.05833333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,mean,s3_top10,3600,5,0.2816699192372844,0.057082865408721005,-0.027569439883685744,-0.03603164823333224,0,0.2667750825544,0.05833333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,mean,s3_top10,4800,5,0.2816699192372844,0.057082865408721005,-0.027569439883685744,-0.03603164823333224,0,0.2667750825544,0.05833333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,mean,s3_top25,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s3_top25,1200,5,0.32485358958491656,0.07063597514899969,0.015614230463946365,-0.008855189194455548,3,0.3755471067884241,0.1,1.0,1.0,2.0333333333333337,1200.0
EGFR,secondary,mean,s3_top25,2400,5,0.28482082018920457,0.07473204974569665,-0.0244185389317656,-0.05195148916346523,1,0.2845430076104408,0.09166666666666666,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,mean,s3_top25,3600,5,0.28482082018920457,0.07473204974569665,-0.0244185389317656,-0.05195148916346523,1,0.2845430076104408,0.09166666666666666,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,mean,s3_top25,4800,5,0.28482082018920457,0.07473204974569665,-0.0244185389317656,-0.05195148916346523,1,0.2845430076104408,0.09166666666666666,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,mean,s3_top50,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s3_top50,1200,5,0.335335799178926,0.07597833833003435,0.02609644005795585,-0.022477373065769746,4,0.38754040211245944,0.1,1.0,1.0,1.9933333333333334,1200.0
EGFR,secondary,mean,s3_top50,2400,5,0.3155628864503315,0.07784531279351256,0.006323527329361306,-0.03972563976082852,3,0.3328014389473365,0.08333333333333334,1.0,1.0,3.9799999999999995,2400.0
EGFR,secondary,mean,s3_top50,3600,5,0.29752445178642506,0.07321126498353614,-0.011714907334545072,-0.03150488711915275,1,0.2948611139868575,0.075,1.0,1.0,5.966666666666667,3600.0
EGFR,secondary,mean,s3_top50,4800,5,0.2935216028919031,0.07652836572065196,-0.015717756229067105,-0.03816767047039599,1,0.2849417121733537,0.09166666666666666,1.0,1.0,6.463333333333333,3900.0
EGFR,secondary,mean,s4_scaffold25,600,5,0.35789177068281103,0.07562668250852182,0.04865241156184086,0.015464998322663681,5,0.39085505319793235,0.1,0.7809999999999999,0.7816666666666666,1.2844625437140684,600.0
EGFR,secondary,mean,s4_scaffold25,1200,5,0.34800427987943705,0.07282639892204358,0.03876492075846688,-0.0016877232120930952,4,0.3750030663215023,0.09166666666666667,0.7809999999999999,0.7816666666666666,2.5781478196671643,1200.0
EGFR,secondary,mean,s4_scaffold25,2400,5,0.31691982430727117,0.07933022658637315,0.007680465186301005,-0.03164061401062371,3,0.31184301758698857,0.08333333333333333,0.7809999999999999,0.7816666666666666,4.293052634525788,1994.6
EGFR,secondary,mean,s4_scaffold25,3600,5,0.31691982430727117,0.07933022658637315,0.007680465186301005,-0.03164061401062371,3,0.31184301758698857,0.08333333333333333,0.7809999999999999,0.7816666666666666,4.293052634525788,1994.6
EGFR,secondary,mean,s4_scaffold25,4800,5,0.31691982430727117,0.07933022658637315,0.007680465186301005,-0.03164061401062371,3,0.31184301758698857,0.08333333333333333,0.7809999999999999,0.7816666666666666,4.293052634525788,1994.6
EGFR,secondary,mean,s4_scaffold50,600,5,0.34156360698973637,0.07417360490684366,0.03232424786876616,-0.02355814731097644,4,0.37399003816612925,0.1,0.7906666666666666,0.7966666666666666,1.268691045796309,600.0
EGFR,secondary,mean,s4_scaffold50,1200,5,0.34020550352079376,0.07193108881884,0.030966144399823592,-0.006006870084631355,4,0.3773042366018482,0.09166666666666667,0.8280000000000001,0.8383333333333333,2.3982429241619534,1200.0
EGFR,secondary,mean,s4_scaffold50,2400,5,0.32147239727009735,0.06909144778365524,0.012233038149127207,-0.01945926882554222,3,0.3298774479103442,0.08333333333333334,0.8280000000000001,0.8383333333333333,4.7942759097479595,2400.0
EGFR,secondary,mean,s4_scaffold50,3600,5,0.3050991640037305,0.07285382799650221,-0.004140195117239631,-0.024499498001925635,2,0.2894469005676786,0.08333333333333333,0.8280000000000001,0.8383333333333333,6.9881992698507505,3498.4
EGFR,secondary,mean,s4_scaffold50,4800,5,0.3057484744276872,0.07255679709866432,-0.0034908846932829364,-0.024499498001925635,2,0.29075037892474775,0.08333333333333333,0.8280000000000001,0.8383333333333333,6.995966260142012,3503.8
EGFR,secondary,mean,s5_score_oracle,600,5,0.28240423888419863,0.04693365546541127,-0.0268351202367715,-0.0474232221698081,0,0.2719220593811271,0.058333333333333334,1.0,1.0,1.0,600.0
EGFR,secondary,mean,s5_score_oracle,1200,5,0.2900500575697619,0.0462561230510926,-0.01918930155120834,-0.042490171952506706,1,0.2836845770464632,0.06666666666666667,1.0,1.0,2.0,1200.0
EGFR,secondary,mean,s5_score_oracle,2400,5,0.3036350323197265,0.05780583453891893,-0.005604326801243631,-0.019835824391322143,2,0.30067845310016195,0.075,1.0,1.0,4.0,2400.0
EGFR,secondary,mean,s5_score_oracle,3600,5,0.30239232313092135,0.05696674088289121,-0.006847035990048845,-0.02233107994638439,2,0.2955923603050411,0.058333333333333334,1.0,1.0,6.0,3600.0
EGFR,secondary,mean,s5_score_oracle,4800,5,0.30632985766395077,0.06171670730500027,-0.00290950145701937,-0.02166044902533515,2,0.3004431288578372,0.06666666666666667,1.0,1.0,8.0,4800.0
EGFR,secondary,min,s1_width,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s1_width,1200,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s1_width,2400,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s1_width,3600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s1_width,4800,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s2_uniform,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s2_uniform,1200,5,0.3080385830918523,0.05761187825816164,-0.0012007760291179227,-0.03282942298405134,2,0.34457681624860487,0.09166666666666666,1.0,1.0,2.0,1200.0
EGFR,secondary,min,s2_uniform,2400,5,0.30059913144870426,0.06594486537939336,-0.00864022767226591,-0.05186383072608278,2,0.33141005088831876,0.075,1.0,1.0,4.0,2400.0
EGFR,secondary,min,s2_uniform,3600,5,0.28561451789141457,0.04486634289202559,-0.023624841229555587,-0.05016061231864266,0,0.28105274282439374,0.058333333333333334,1.0,1.0,6.0,3600.0
EGFR,secondary,min,s2_uniform,4800,5,0.28339751730320456,0.04677759290371521,-0.0258418418177656,-0.04706778343650175,0,0.27277451745070724,0.058333333333333334,1.0,1.0,8.0,4800.0
