target_id,phi,policy,budget,n_folds,folds,mean_delta,worst_fold_delta,positive_folds,bootstrap_mean,se,ci95_low,ci95_high,mde
CDK2,mean,s5_score_oracle,1200,4,0|1|2|3,0.04573745742062976,-0.027053055862778397,3,0.041445326933966325,0.027998968469313237,-0.01463811399421563,0.09835780570923834,0.0825968953234075
CDK2,mean,s2_uniform,2400,4,0|1|2|3,0.053461614300117505,0.01030283824311562,4,0.04822965173694817,0.028186177022199912,-0.005067999090502298,0.10428852778505227,0.08314916014214088
CDK2,mean,s3_top10,2400,4,0|1|2|3,-0.012492254344476234,-0.06893206413506925,1,-0.014734926072788654,0.024344847091053345,-0.06379473447131155,0.031486904996201916,0.07181724530487375
CDK2,mean,s3_top25,2400,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s3_top50,2400,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s4_scaffold25,2400,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s4_scaffold50,2400,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s5_score_oracle,2400,4,0|1|2|3,0.050808404990729306,-0.0011615191543616898,3,0.04586331201635183,0.027743036484807734,-0.006324272718514288,0.10014394547961408,0.08184189653274557
CDK2,mean,s2_uniform,3600,4,0|1|2|3,0.05485916726477694,0.017233612147573685,4,0.049568644916250564,0.028036525787111535,-0.0024044000249086274,0.1051590904200879,0.08270768932820141
CDK2,mean,s3_top10,3600,4,0|1|2|3,-0.012492254344476234,-0.06893206413506925,1,-0.014734926072788654,0.024344847091053345,-0.06379473447131155,0.031486904996201916,0.07181724530487375
CDK2,mean,s3_top25,3600,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s3_top50,3600,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s4_scaffold25,3600,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s4_scaffold50,3600,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s5_score_oracle,3600,4,0|1|2|3,0.05485916726477694,0.017233612147573685,4,0.049568644916250564,0.028036525787111535,-0.0024044000249086274,0.1051590904200879,0.08270768932820141
CDK2,mean,s2_uniform,4800,4,0|1|2|3,0.05485916726477694,0.017233612147573685,4,0.049568644916250564,0.028036525787111535,-0.0024044000249086274,0.1051590904200879,0.08270768932820141
CDK2,mean,s3_top10,4800,4,0|1|2|3,-0.012492254344476234,-0.06893206413506925,1,-0.014734926072788654,0.024344847091053345,-0.06379473447131155,0.031486904996201916,0.07181724530487375
CDK2,mean,s3_top25,4800,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s3_top50,4800,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s4_scaffold25,4800,4,0|1|2|3,-0.035790362429836964,-0.14718168846752777,2,-0.038094658441514315,0.032804588851346836,-0.10048588950715255,0.030333191699339353,0.09677346486717107
CDK2,mean,s4_scaffold50,4800,4,0|1|2|3,-0.0025052129120325117,-0.08572496212937397,2,-0.007015311692973196,0.03136617405654029,-0.06906706656852102,0.05227442570275724,0.09253014439025811
CDK2,mean,s5_score_oracle,4800,4,0|1|2|3,0.05485916726477694,0.017233612147573685,4,0.049568644916250564,0.028036525787111535,-0.0024044000249086274,0.1051590904200879,0.08270768932820141
CDK2,min,s2_uniform,600,4,0|1|2|3,0.011764741804390189,-0.035009766856474056,1,0.007709242210973562,0.025951007103148294,-0.04399444596137765,0.05600627500121222,0.07655541380336857
CDK2,min,s3_top10,600,4,0|1|2|3,0.0062500000000000056,0.0,1,0.003949187672435712,0.005584986440166256,0.0,0.017363591269841223,0.0164756976988866
CDK2,min,s3_top25,600,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s3_top50,600,4,0|1|2|3,0.02441380702845483,-0.015362137862137915,3,0.017301383922233207,0.022414119251691803,-0.02668235159463214,0.06059198020229807,0.06612160243072591
CDK2,min,s4_scaffold25,600,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s4_scaffold50,600,4,0|1|2|3,0.02441380702845483,-0.015362137862137915,3,0.017301383922233207,0.022414119251691803,-0.02668235159463214,0.06059198020229807,0.06612160243072591
CDK2,min,s5_score_oracle,600,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s2_uniform,1200,4,0|1|2|3,0.032699255719234904,0.01203553311999217,4,0.025967281088235688,0.03077170597385324,-0.03365629266816815,0.08612323288686567,0.09077646485550585
CDK2,min,s3_top10,1200,4,0|1|2|3,0.0062500000000000056,0.0,1,0.003949187672435712,0.005584986440166256,0.0,0.017363591269841223,0.0164756976988866
CDK2,min,s3_top25,1200,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s3_top50,1200,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s4_scaffold25,1200,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s4_scaffold50,1200,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s5_score_oracle,1200,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s2_uniform,2400,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s3_top10,2400,4,0|1|2|3,0.0062500000000000056,0.0,1,0.003949187672435712,0.005584986440166256,0.0,0.017363591269841223,0.0164756976988866
CDK2,min,s3_top25,2400,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s3_top50,2400,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s4_scaffold25,2400,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s4_scaffold50,2400,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s5_score_oracle,2400,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s2_uniform,3600,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s3_top10,3600,4,0|1|2|3,0.0062500000000000056,0.0,1,0.003949187672435712,0.005584986440166256,0.0,0.017363591269841223,0.0164756976988866
CDK2,min,s3_top25,3600,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s3_top50,3600,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s4_scaffold25,3600,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s4_scaffold50,3600,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s5_score_oracle,3600,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
CDK2,min,s2_uniform,4800,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
